PropertyID,City,PropertyType,Bedrooms,FullBathrooms,HalfBathrooms,GarageCars,BasementArea,FirstFloorArea,SecondFloorArea,LotArea,YearBuilt,Condition,DistanceFromCityCenter,HasPool,HasGarden,Furnishing,SalePrice
3166,Mumbai,Villa,3,1,2,0.0,171.0,548,650,3499.0,1999,Excellent,9.59,0,1,Semi-Furnished,45153416
3692,Mumbai,Independent House,1,3,0,2.0,550.0,1194,891,4768.0,2013,Fair,18.17,1,1,Unfurnished,48413210
3298,Pune,Independent House,6,3,0,,425.0,411,607,3499.0,2007,Good,5.42,0,1,,25044655
10410,Delhi,Independent House,2,4,0,2.0,447.0,795,636,7569.0,2010,,9.65,0,1,Semi-Furnished,32060681
7935,Mumbai,Independent House,6,3,2,2.0,426.0,1032,183,4528.0,1997,,14.25,0,0,Unfurnished,41225809
3489,Delhi,Villa,6,3,1,0.0,724.0,552,648,5434.0,2000,Poor,7.78,1,1,Fully Furnished,28976744
7051,Hyderabad,Studio,5,4,1,2.0,301.0,1256,156,5157.0,2024,Excellent,14.22,0,1,Semi-Furnished,16489129
1311,Delhi,Independent House,6,4,2,,249.0,1180,667,1876.0,1966,Fair,17.37,0,1,Fully Furnished,28479057
8725,Bangalore,Villa,5,4,2,0.0,435.0,870,977,6966.0,1980,,15.53,0,0,Semi-Furnished,31747438
8193,Pune,Villa,2,2,2,0.0,463.0,1389,829,2863.0,1997,Good,4.97,1,1,Unfurnished,45933197
14288,Hyderabad,Studio,3,4,1,3.0,552.0,1138,629,4654.0,2011,Excellent,0.78,0,1,Fully Furnished,18855886
6979,Mumbai,Apartment,4,1,2,2.0,677.0,1256,157,4298.0,1979,Fair,6.68,0,0,Unfurnished,26213471
12236,Chennai,Apartment,4,3,0,3.0,563.0,928,605,4286.0,2013,Excellent,12.44,0,1,Unfurnished,24842062
8835,Bangalore,Independent House,3,2,2,3.0,191.0,768,0,7736.0,1977,Fair,1.65,1,0,,17153174
2513,Bangalore,Studio,1,4,1,1.0,637.0,570,172,4529.0,2003,Fair,8.72,0,1,Semi-Furnished,11571568
14794,Hyderabad,Villa,2,3,1,2.0,253.0,918,481,4752.0,2015,Poor,8.2,0,0,Semi-Furnished,18791698
6022,Delhi,Independent House,4,1,2,0.0,686.0,210,774,5641.0,1963,Good,10.92,0,0,Semi-Furnished,26311514
14032,Bangalore,Studio,5,2,0,0.0,411.0,1014,673,4578.0,2020,Poor,11.8,0,0,Fully Furnished,11838773
2678,Chennai,Villa,4,3,2,1.0,556.0,730,173,4155.0,1971,Good,17.05,0,1,,23476927
12215,Pune,Independent House,2,2,1,0.0,412.0,1170,585,,2001,Good,4.87,0,1,,31711609
2936,Chennai,Villa,3,3,2,1.0,499.0,782,72,5902.0,2019,Poor,13.65,1,1,Fully Furnished,16426694
3234,Chennai,Villa,4,4,1,3.0,423.0,294,387,3987.0,2022,Good,18.32,1,1,Semi-Furnished,21626737
4296,Mumbai,Villa,3,2,0,1.0,445.0,569,382,8731.0,2025,Poor,17.71,0,0,Fully Furnished,26825296
9377,Pune,Apartment,2,2,2,3.0,559.0,647,711,4871.0,2013,Fair,9.96,0,0,Fully Furnished,15072846
9318,Pune,Independent House,1,1,2,2.0,380.0,859,718,4721.0,1970,,12.26,0,1,,16555272
10100,Delhi,Apartment,2,4,2,2.0,319.0,240,466,5217.0,1972,Excellent,12.69,0,1,Semi-Furnished,15830637
7736,Bangalore,Villa,5,3,0,,244.0,1402,438,3012.0,1986,Excellent,11.1,0,1,Unfurnished,55586315
3882,Bangalore,Studio,4,3,2,2.0,,869,720,4876.0,1985,Excellent,0.58,0,1,Fully Furnished,20275034
12617,Chennai,Apartment,2,3,0,0.0,295.0,775,790,6874.0,1986,Good,13.32,0,0,Semi-Furnished,15135927
4464,Hyderabad,Apartment,4,4,2,0.0,715.0,934,669,7604.0,1981,Good,9.44,0,0,Fully Furnished,22597281
12120,Bangalore,Apartment,2,4,2,0.0,160.0,1296,671,4151.0,2014,Good,11.36,1,0,Semi-Furnished,25043140
7691,Delhi,Studio,2,3,1,,630.0,1174,106,7330.0,1984,Fair,13.42,0,0,Unfurnished,13071583
7574,Chennai,Independent House,3,1,1,3.0,288.0,1530,497,9166.0,2014,Good,7.13,0,0,Semi-Furnished,28027682
11918,Mumbai,Apartment,3,4,2,2.0,427.0,1077,800,5199.0,1961,Good,3.91,0,1,Unfurnished,34043058
477,Hyderabad,Studio,6,3,0,1.0,190.0,1052,478,5241.0,2005,Fair,7.45,0,0,Fully Furnished,10388399
6423,Chennai,Studio,3,4,1,1.0,847.0,863,490,5405.0,1991,Good,9.24,0,0,Fully Furnished,13120998
12636,Delhi,Studio,6,1,0,3.0,161.0,1033,773,5622.0,1998,,8.56,0,0,Fully Furnished,17994145
7742,Delhi,Studio,1,1,2,,746.0,334,819,4650.0,2004,,9.77,0,1,,14978606
3853,Mumbai,Villa,4,4,1,0.0,412.0,758,292,5381.0,1974,Fair,6.65,1,0,Semi-Furnished,36427160
10944,Pune,Apartment,2,1,2,3.0,449.0,1326,393,7822.0,1994,Good,4.66,0,0,,20943512
7900,Mumbai,Villa,3,2,0,3.0,258.0,1408,0,7304.0,2008,Fair,9.62,1,0,Unfurnished,38918551
6867,Mumbai,Independent House,2,3,1,0.0,588.0,1137,757,2868.0,1983,Fair,4.87,0,0,Semi-Furnished,45331344
3976,Delhi,Apartment,4,3,0,2.0,608.0,1281,613,3825.0,2004,Good,4.84,0,0,Unfurnished,28233377
10812,Bangalore,Villa,1,1,2,1.0,607.0,561,400,,1997,Fair,11.9,0,0,Semi-Furnished,26692635
11322,Chennai,Apartment,4,2,0,,55.0,951,494,2278.0,1986,Good,9.96,0,0,Unfurnished,13937924
340,Pune,Studio,1,3,0,0.0,242.0,804,666,4817.0,2024,,9.59,0,1,Semi-Furnished,10904841
10044,Mumbai,Studio,4,1,2,2.0,520.0,917,98,5231.0,1964,Fair,8.17,0,0,Fully Furnished,13722416
7976,Delhi,Independent House,3,4,2,3.0,402.0,746,804,2774.0,1995,Good,9.63,0,1,Fully Furnished,34044549
3380,Chennai,Studio,1,4,2,2.0,500.0,524,335,0.0,1967,,15.95,0,1,Fully Furnished,6180025
